latitude,longitude,value
-34.950000762939446,-59.77999877929688,0.862
-35.0,-49.15999984741211,0.141
-34.900001525878906,-40.90999984741211,0.198
-35.0,-49.099998474121094,0.15
-34.950000762939446,-46.58000183105469,0.18
-35.0,-64.25,0.451
-35.0,-46.97000122070313,0.14500000000000002
-34.950000762939446,-46.15999984741211,0.504
-34.950000762939446,-50.0,0.018000000000000002
-34.900001525878906,-48.79999923706055,0.113
-34.900001525878906,-60.40999984741211,0.08800000000000001
-34.950000762939446,-42.40999984741211,0.11900000000000001
-34.900001525878906,-63.22999954223633,0.015
-35.0,-48.16999816894531,0.17300000000000001
-35.0,-61.06999969482422,0.386
-34.950000762939446,-43.7599983215332,0.048
-34.950000762939446,-45.52999877929688,0.34
-35.0,-68.98999786376953,0.27699999999999997
-35.0,-44.38999938964844,0.006
-35.0,-50.75,0.046
-34.950000762939446,-41.959999084472656,0.6779999999999999
-34.900001525878906,-67.12999725341797,0.114
-34.950000762939446,-69.58999633789061,0.121
-35.0,-38.959999084472656,0.746
-34.900001525878906,-57.04999923706055,0.073
-35.0,-39.650001525878906,0.203
-34.900001525878906,-55.27999877929688,0.019
-35.0,-43.310001373291016,0.159
-34.900001525878906,-64.58000183105469,0.625
-34.900001525878906,-73.43000030517578,0.019
-35.0,-66.47000122070311,0.006
-35.0,-70.94000244140625,0.424
-35.0,-48.97999954223633,0.099
-35.0,-69.34999847412111,0.045
-34.950000762939446,-53.09000015258789,0.023
-35.0,-61.54999923706055,0.03
-34.900001525878906,-43.099998474121094,0.069
-34.900001525878906,-65.20999908447266,0.363
-34.900001525878906,-59.56999969482422,0.168
-34.900001525878906,-57.16999816894531,0.237
-34.900001525878906,-54.709999084472656,0.011000000000000001
-34.900001525878906,-40.93999862670898,0.47700000000000004
-34.950000762939446,-65.0,0.13699999999999998
-34.950000762939446,-54.02000045776367,0.042
-34.950000762939446,-65.30000305175781,0.532
-35.0,-53.9900016784668,0.012
-34.900001525878906,-42.16999816894531,0.003
-34.900001525878906,-64.45999908447266,0.026000000000000002
-34.950000762939446,-64.61000061035156,0.031
-34.900001525878906,-72.05000305175781,0.382
-34.900001525878906,-73.58000183105469,0.133
-34.900001525878906,-48.02000045776367,0.057
-34.950000762939446,-49.27999877929688,0.38299999999999995
-35.0,-35.779998779296875,0.7
-35.0,-38.599998474121094,0.034
-34.900001525878906,-49.790000915527344,0.10400000000000001
-34.900001525878906,-67.40000152587889,0.41200000000000003
-34.950000762939446,-38.77999877929688,0.064
-34.950000762939446,-60.86000061035156,0.775
-34.950000762939446,-38.09000015258789,0.031
-34.900001525878906,-50.209999084472656,0.10099999999999999
-35.0,-43.7599983215332,0.19399999999999998
-35.0,-46.31000137329102,0.201
-34.950000762939446,-39.11000061035156,0.271
-35.0,-70.55000305175781,0.293
-35.0,-60.61999893188477,0.09300000000000001
-34.950000762939446,-53.56999969482422,0.017
-35.0,-53.47999954223633,0.215
-34.950000762939446,-51.88999938964844,0.691
-34.950000762939446,-34.189998626708984,0.214
-35.0,-55.7599983215332,0.024
-34.900001525878906,-62.38999938964844,0.043
-35.0,-59.2400016784668,0.653
-34.900001525878906,-57.11000061035156,0.006
-34.950000762939446,-49.36999893188477,0.08900000000000001
-34.950000762939446,-59.72000122070313,0.054000000000000006
-34.950000762939446,-62.75,0.031
-35.0,-62.29999923706055,0.34299999999999997
-34.950000762939446,-66.37999725341797,0.107
-34.900001525878906,-47.72000122070313,0.006999999999999999
-34.950000762939446,-45.349998474121094,0.064
-34.950000762939446,-71.9000015258789,0.128
-34.900001525878906,-41.75,0.402
-35.0,-37.52000045776367,0.091
-34.950000762939446,-47.06000137329102,0.433
-35.0,-73.58000183105469,0.166
-34.950000762939446,-47.9000015258789,0.467
-35.0,-55.27999877929688,0.096
-35.0,-60.91999816894531,0.141
-34.950000762939446,-65.75,0.198
-34.900001525878906,-54.7400016784668,0.26
-34.950000762939446,-40.54999923706055,0.091
-34.950000762939446,-48.86000061035156,0.031
-35.0,-51.349998474121094,0.607
-34.950000762939446,-69.94999694824219,0.012
-34.950000762939446,-60.02000045776367,0.752
-34.900001525878906,-61.849998474121094,0.552
-34.900001525878906,-61.25,0.5529999999999999
-35.0,-73.69999694824219,0.243
